Utc,Bsp,Awa,Aws,Twa,Tws,Twd
42204.352181,0,103,3.8,94.3,3.58,97
42204.352193,0.45,102,4,85.5,3.84,101.3
42204.352204,0.45,100,4.3,41.5,3.66,127.1
42204.352216,0,99,5.5,90.3,5.5,94
42204.352228,,98,5.1,89.4,4.84,92.2
42204.35224,0,95,4.9,85.5,4.69,88.2
42204.352251,0,93,4.2,83.2,4.02,85.9
42204.352263,0,93,4.3,82.6,4.14,85.3
42204.352275,0,91,3.9,80.1,3.77,82.9
42204.352286,0,88,3.7,76.7,3.58,79.5
42204.352298,,92,3.5,81.2,3.38,84
42204.35231,0,91,3.4,80,3.28,82.8
42204.352321,0,98,3.5,88.3,3.39,91
42204.352333,0,100,3.5,90.7,3.32,93.4
42204.352344,0,106,3,97.7,2.8,100.4
42204.352356,,105,3.1,96.5,2.91,99.3
42204.352368,0,103,2.7,94.1,2.54,96.8
42204.35238,0,104,2.5,95.3,2.35,98
42204.352392,0,103,2.8,94.1,2.64,96.8
42204.352404,,,,,,
42204.352415,0,101,3.1,91.8,2.93,95.5
42204.352427,,100,3.4,90.6,3.23,93.4
42204.352438,0,100,3.4,90.6,3.23,93.4
42204.35245,0,100,3.9,90.6,3.7,93.4
42204.352462,0,102,3.8,93.1,3.59,95.8
42204.352473,0,103,4.1,94.3,3.86,97.1
42204.352485,,103,3.9,94.3,3.67,97
42204.352497,0,106,4.2,97.9,3.93,100.6
42204.352508,0,108,4.3,100.2,4.02,103
42204.35252,0,108,4.1,100.2,3.81,103
42204.352532,0,112,4.3,104.9,3.96,107.7
42204.352543,,106,4,97.8,3.74,100.6
42204.352555,0,103,4.3,94.4,4.05,97.1
42204.352567,0,99,4,89.7,3.77,92.4
42204.352578,0,97,3.7,87.2,3.53,89.9
42204.35259,0,95,4.1,84.9,3.93,87.6
42204.352602,,96,3.7,86,3.54,88.7
42204.352613,0,97,3.5,87.1,3.34,89.9
42204.352625,0,102,3.3,93,3.15,95.8
42204.352637,0,105,3.3,96.5,3.09,99.3
42204.352648,0,107,3.2,98.9,2.98,101.6
42204.35266,,112,3.9,104.9,3.59,107.6
42204.352671,0,117,3.6,110.8,3.27,113.5
